task,dimension,krippendorff_alpha,mean_weighted_kappa
tf1_generation,grammar,-0.2822,0.006
tf1_generation,creativity,0.1204,0.1533
tf1_generation,moral_clarity,0.0034,0.0845
tf1_generation,adherence_to_prompt,-0.3405,0.0165
tf2_translation,accuracy,0.1184,0.0599
tf2_translation,fluency,-0.0656,0.0427
tf2_translation,coherence,-0.0426,-0.0238
tf2_translation,style,0.0114,0.0326
tf2_translation,cultural_pragmatic,0.1227,0.0865
tf3_generation,grammar,-0.1883,0.0517
tf3_generation,creativity,-0.2199,0.0325
tf3_generation,coherence,-0.3208,0.017
tf3_generation,moral_clarity,-0.1671,0.0545
tf3_generation,adherence,-0.2824,0.0142
