audit,judge,dimension,exact_match_rate,mean_abs_delta
position,exaone3.5:32b,adherence_to_prompt,0.785,0.24
position,exaone3.5:32b,creativity,0.84,0.16
position,exaone3.5:32b,grammar,1.0,0.0
position,exaone3.5:32b,moral_clarity,0.83,0.17
position,granite3.3:8b,adherence_to_prompt,0.8,0.27
position,granite3.3:8b,creativity,0.33,0.73
position,granite3.3:8b,grammar,0.415,0.595
position,granite3.3:8b,moral_clarity,0.35,0.72
position,granite4.1:30b,adherence_to_prompt,0.43,0.92
position,granite4.1:30b,creativity,0.565,0.46
position,granite4.1:30b,grammar,0.625,0.43
position,granite4.1:30b,moral_clarity,0.52,0.615
stability,exaone3.5:32b,adherence_to_prompt,0.91,0.11
stability,exaone3.5:32b,creativity,0.92,0.08
stability,exaone3.5:32b,grammar,1.0,0.0
stability,exaone3.5:32b,moral_clarity,0.94,0.06
stability,granite3.3:8b,adherence_to_prompt,0.86,0.14
stability,granite3.3:8b,creativity,0.75,0.25
stability,granite3.3:8b,grammar,0.81,0.19
stability,granite3.3:8b,moral_clarity,0.68,0.46
stability,granite4.1:30b,adherence_to_prompt,0.73,0.39
stability,granite4.1:30b,creativity,0.84,0.16
stability,granite4.1:30b,grammar,0.85,0.21
stability,granite4.1:30b,moral_clarity,0.86,0.16
length,exaone3.5:32b,grammar,,-0.0088905646809985
length,exaone3.5:32b,creativity,,0.1070390358311723
length,exaone3.5:32b,moral_clarity,,0.0381060233956501
length,exaone3.5:32b,adherence_to_prompt,,0.0627034123528418
length,granite3.3:8b,grammar,,-0.2657775180235974
length,granite3.3:8b,creativity,,0.0185701501711347
length,granite3.3:8b,moral_clarity,,-0.0673812613881619
length,granite3.3:8b,adherence_to_prompt,,-0.0866882205255472
length,granite4.1-dense:30b,grammar,,-0.2667617833785471
length,granite4.1-dense:30b,creativity,,-0.2461877721836987
length,granite4.1-dense:30b,moral_clarity,,-0.1338820166920006
length,granite4.1-dense:30b,adherence_to_prompt,,-0.2495655681287787
