task,comparison,dimension,spearman_rho,p_value,n
tf1_generation,selene_vs_panel,grammar,0.4577,0.0,200
tf1_generation,selene_vs_openai/o4-mini,grammar,0.2933,2.5e-05,200
tf1_generation,selene_vs_panel,creativity,0.4008,0.0,200
tf1_generation,selene_vs_openai/o4-mini,creativity,0.4741,0.0,200
tf1_generation,selene_vs_panel,moral_clarity,0.07,0.324437,200
tf1_generation,selene_vs_openai/o4-mini,moral_clarity,0.2237,0.001453,200
tf1_generation,selene_vs_panel,adherence_to_prompt,0.3185,4e-06,200
tf1_generation,selene_vs_openai/o4-mini,adherence_to_prompt,0.4648,0.0,200
tf2_translation,selene_vs_panel,accuracy,0.3089,0.003052,90
tf2_translation,selene_vs_openai/o4-mini,accuracy,0.3333,0.001328,90
tf2_translation,selene_vs_panel,fluency,0.0599,0.574705,90
tf2_translation,selene_vs_openai/o4-mini,fluency,-0.0356,0.738735,90
tf2_translation,selene_vs_panel,coherence,,,90
tf2_translation,selene_vs_openai/o4-mini,coherence,0.2229,0.034742,90
tf2_translation,selene_vs_panel,style,-0.0084,0.937294,90
tf2_translation,selene_vs_openai/o4-mini,style,-0.0398,0.709279,90
tf2_translation,selene_vs_panel,cultural_pragmatic,0.0748,0.48375,90
tf2_translation,selene_vs_openai/o4-mini,cultural_pragmatic,0.3721,0.000304,90
tf3_generation,selene_vs_panel,grammar,0.2766,0.005332,100
tf3_generation,selene_vs_google/gemini-2.5-flash,grammar,0.1855,0.064595,100
tf3_generation,selene_vs_openai/o4-mini,grammar,0.1628,0.105485,100
tf3_generation,selene_vs_panel,creativity,0.2717,0.00625,100
tf3_generation,selene_vs_google/gemini-2.5-flash,creativity,0.1531,0.128344,100
tf3_generation,selene_vs_openai/o4-mini,creativity,0.2936,0.003025,100
tf3_generation,selene_vs_panel,coherence,-0.0667,0.509589,100
tf3_generation,selene_vs_google/gemini-2.5-flash,coherence,0.1659,0.099126,100
tf3_generation,selene_vs_openai/o4-mini,coherence,0.1148,0.255605,100
tf3_generation,selene_vs_panel,moral_clarity,0.0682,0.500353,100
tf3_generation,selene_vs_google/gemini-2.5-flash,moral_clarity,-0.0042,0.967004,100
tf3_generation,selene_vs_openai/o4-mini,moral_clarity,0.1629,0.10531,100
tf3_generation,selene_vs_panel,adherence,0.1621,0.107148,100
tf3_generation,selene_vs_google/gemini-2.5-flash,adherence,0.2288,0.022059,100
tf3_generation,selene_vs_openai/o4-mini,adherence,0.0018,0.985742,100
